
response
<openai.Stream object at 0x000002363B596BA0>
ResponseCreatedEvent(response=Response(id='resp_0b704da3896a2580006a1a70732618819885d263564d9e1080', created_at=1780117619.0, error=None, incomplete_details=None, instructions='You are a helpful assistant.', metadata={}, model='gpt-5-nano-2025-08-07', object='response', output=[], parallel_tool_calls=True, temperature=1.0, tool_choice='auto', tools=[], top_p=1.0, background=False, completed_at=None, conversation=None, max_output_tokens=None, max_tool_calls=None, previous_response_id=None, prompt=None, prompt_cache_key=None, prompt_cache_retention='in_memory', reasoning=Reasoning(effort='medium', generate_summary=None, summary=None, context='current_turn'), safety_identifier=None, service_tier='auto', status='in_progress', text=ResponseTextConfig(format=ResponseFormatText(type='text'), verbosity='medium'), top_logprobs=0, truncation='disabled', usage=None, user=None, frequency_penalty=0.0, moderation=None, presence_penalty=0.0, store=True), sequence_number=0, type='response.created')
ResponseInProgressEvent(response=Response(id='resp_0b704da3896a2580006a1a70732618819885d263564d9e1080', created_at=1780117619.0, error=None, incomplete_details=None, instructions='You are a helpful assistant.', metadata={}, model='gpt-5-nano-2025-08-07', object='response', output=[], parallel_tool_calls=True, temperature=1.0, tool_choice='auto', tools=[], top_p=1.0, background=False, completed_at=None, conversation=None, max_output_tokens=None, max_tool_calls=None, previous_response_id=None, prompt=None, prompt_cache_key=None, prompt_cache_retention='in_memory', reasoning=Reasoning(effort='medium', generate_summary=None, summary=None, context='current_turn'), safety_identifier=None, service_tier='auto', status='in_progress', text=ResponseTextConfig(format=ResponseFormatText(type='text'), verbosity='medium'), top_logprobs=0, truncation='disabled', usage=None, user=None, frequency_penalty=0.0, moderation=None, presence_penalty=0.0, store=True), sequence_number=1, type='response.in_progress')
ResponseOutputItemAddedEvent(item=ResponseReasoningItem(id='rs_0b704da3896a2580006a1a70738a6c8198992c39101107606e', summary=[], type='reasoning', content=None, encrypted_content=None, status=None), output_index=0, sequence_number=2, type='response.output_item.added')
ResponseOutputItemDoneEvent(item=ResponseReasoningItem(id='rs_0b704da3896a2580006a1a70738a6c8198992c39101107606e', summary=[], type='reasoning', content=None, encrypted_content=None, status=None), output_index=0, sequence_number=3, type='response.output_item.done')
ResponseOutputItemAddedEvent(item=ResponseOutputMessage(id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', content=[], role='assistant', status='in_progress', type='message', phase=None), output_index=1, sequence_number=4, type='response.output_item.added')
ResponseContentPartAddedEvent(content_index=0, item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', output_index=1, part=ResponseOutputText(annotations=[], text='', type='output_text', logprobs=[]), sequence_number=5, type='response.content_part.added')
ResponseTextDeltaEvent(content_index=0, delta='신', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=6, type='response.output_text.delta', obfuscation='7Slj3onAV2bwxB0')
ResponseTextDeltaEvent(content_index=0, delta=' 홍', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=19, type='response.output_text.delta', obfuscation='wXc40xxxhJfBn7')
ResponseTextDeltaEvent(content_index=0, delta='길', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=20, type='response.output_text.delta', obfuscation='0aA7h4kEmeua771')
ResponseTextDeltaEvent(content_index=0, delta='동', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=21, type='response.output_text.delta', obfuscation='KvkaQg1G7Ot1st6')
ResponseTextDeltaEvent(content_index=0, delta='이', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=22, type='response.output_text.delta', obfuscation='CJCUKBW6nUrP1kK')
ResponseTextDeltaEvent(content_index=0, delta=' 이를', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=23, type='response.output_text.delta', obfuscation='J0k5txOGXtYcv')
ResponseTextDeltaEvent(content_index=0, delta=' 뚫', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=24, type='response.output_text.delta', obfuscation='zw7MO1ZuY5jy9v')
ResponseTextDeltaEvent(content_index=0, delta='고', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=25, type='response.output_text.delta', obfuscation='O7m1MyMkyXgEVNq')
ResponseTextDeltaEvent(content_index=0, delta=' 도', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=26, type='response.output_text.delta', obfuscation='LNuXIC6nOtmfVn')
ResponseTextDeltaEvent(content_index=0, delta='적', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=27, type='response.output_text.delta', obfuscation='lEoEkMD7nbJyTLe')
ResponseTextDeltaEvent(content_index=0, delta='이', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=28, type='response.output_text.delta', obfuscation='uz5agPm6Nfns4cW')
ResponseTextDeltaEvent(content_index=0, delta=' 되어', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=29, type='response.output_text.delta', obfuscation='jexAi81wdTsCA')
ResponseTextDeltaEvent(content_index=0, delta=' 가', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=30, type='response.output_text.delta', obfuscation='vmNimjY81CyBmC')
ResponseTextDeltaEvent(content_index=0, delta='난', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=31, type='response.output_text.delta', obfuscation='KlVvhdGHrD6SwEa')
ResponseTextDeltaEvent(content_index=0, delta='한', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=32, type='response.output_text.delta', obfuscation='ZHgBGKMicetTi3J')
ResponseTextDeltaEvent(content_index=0, delta=' 이', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=33, type='response.output_text.delta', obfuscation='rUjomZ6ZjrstkO')
ResponseTextDeltaEvent(content_index=0, delta='들을', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=34, type='response.output_text.delta', obfuscation='ZUvCoRpldxyQf5')
ResponseTextDeltaEvent(content_index=0, delta=' 돕', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=35, type='response.output_text.delta', obfuscation='jmSIwITEzVaED9')
ResponseTextDeltaEvent(content_index=0, delta='고', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=36, type='response.output_text.delta', obfuscation='hsUEdfWxm5UXleD')
ResponseTextDeltaEvent(content_index=0, delta=' 정의', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=37, type='response.output_text.delta', obfuscation='bN01afUPgBpSy')
ResponseTextDeltaEvent(content_index=0, delta='를', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=38, type='response.output_text.delta', obfuscation='Sh8PHzjFpbXVb5f')
ResponseTextDeltaEvent(content_index=0, delta=' 세', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=39, type='response.output_text.delta', obfuscation='Pc8Zu4ZpnICCRP')
ResponseTextDeltaEvent(content_index=0, delta='우', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=40, type='response.output_text.delta', obfuscation='0LXPxc8JmD6IrVt')
ResponseTextDeltaEvent(content_index=0, delta='는', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=41, type='response.output_text.delta', obfuscation='YMyQ68fY3aNZfvx')
ResponseTextDeltaEvent(content_index=0, delta=' 전', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=42, type='response.output_text.delta', obfuscation='PeubPIXngzR99y')
ResponseTextDeltaEvent(content_index=0, delta='설', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=43, type='response.output_text.delta', obfuscation='fqedqgJfUfdIH1i')
ResponseTextDeltaEvent(content_index=0, delta=' 같은', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=44, type='response.output_text.delta', obfuscation='SA3zuFutPV9bA')
ResponseTextDeltaEvent(content_index=0, delta=' 이야기', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=45, type='response.output_text.delta', obfuscation='Bgfytf2p2Ljo')
ResponseTextDeltaEvent(content_index=0, delta='다', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=46, type='response.output_text.delta', obfuscation='jtGxk7BmvZUa36f')
ResponseTextDeltaEvent(content_index=0, delta='.', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=47, type='response.output_text.delta', obfuscation='vfI0NAj2yLSnwj7')
ResponseTextDoneEvent(content_index=0, item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=48, text='신분 차별과 부패한 사회를 견디던 홍길동이 이를 뚫고 도적이 되어 가난한 이들을 돕고 정의를 세우는 전설 같은 이야기다.', type='response.output_text.done')
ResponseContentPartDoneEvent(content_index=0, item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', output_index=1, part=ResponseOutputText(annotations=[], text='신분 차별과 부패한 사회를 견디던 홍길동이 이를 뚫고 도적이 되어 가난한 이들을 돕고 정의를 세우는 전설 같은 이야기다.', type='output_text', logprobs=[]), sequence_number=49, type='response.content_part.done')
ResponseOutputItemDoneEvent(item=ResponseOutputMessage(id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', content=[ResponseOutputText(annotations=[], text='신분 차별과 부패한 사회를 견디던 홍길동이 이를 뚫고 도적이 되어 가난한 이들을 돕고 정의를 세우는 전설 같은 이야기다.', type='output_text', logprobs=[])], role='assistant', status='completed', type='message', phase=None), output_index=1, sequence_number=50, type='response.output_item.done')
ResponseCompletedEvent(response=Response(id='resp_0b704da3896a2580006a1a70732618819885d263564d9e1080', created_at=1780117619.0, error=None, incomplete_details=None, instructions='You are a helpful assistant.', metadata={}, model='gpt-5-nano-2025-08-07', object='response', output=[ResponseReasoningItem(id='rs_0b704da3896a2580006a1a70738a6c8198992c39101107606e', summary=[], type='reasoning', content=None, encrypted_content=None, status=None), ResponseOutputMessage(id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', content=[ResponseOutputText(annotations=[], text='신분 차별과 부패한 사회를 견디던 홍길동이 이를 뚫고 도적이 되어 가난한 이들을 돕고 정의를 세우는 전설 같은 이야기다.', type='output_text', logprobs=[])], role='assistant', status='completed', type='message', phase=None)], parallel_tool_calls=True, temperature=1.0, tool_choice='auto', tools=[], top_p=1.0, background=False, completed_at=1780117623.0, conversation=None, max_output_tokens=None, max_tool_calls=None, previous_response_id=None, prompt=None, prompt_cache_key=None, prompt_cache_retention='in_memory', reasoning=Reasoning(effort='medium', generate_summary=None, summary=None, context='current_turn'), safety_identifier=None, service_tier='default', status='completed', text=ResponseTextConfig(format=ResponseFormatText(type='text'), verbosity='medium'), top_logprobs=0, truncation='disabled', usage=ResponseUsage(input_tokens=29, input_tokens_details=InputTokensDetails(cached_tokens=0), output_tokens=871, output_tokens_details=OutputTokensDetails(reasoning_tokens=768), total_tokens=900), user=None, frequency_penalty=0.0, moderation=None, presence_penalty=0.0, store=True), sequence_number=51, type='response.completed')
